GEOID10,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,CBSA,CBSA_Name,TotPop,NatWalkInd,geom_wgs84,State_name,County_name,tract_avg_walkability,county_avg_walkability
060816086001,06,081,608600,1,41860,"San Francisco-Oakland-Berkeley, CA",1009,11.833333333333332,"MULTIPOLYGON (((-122.28470400020058 37.53007900017474, -122.28466900045392 37.5301140002554, -122.28460899982039 37.530189999661175, -122.2845549997913 37.53032499974864, -122.2845189998694 37.53041600025514, -122.28374699983954 37.53021500009064, -122.28143399986763 37.52961400046175, -122.28066299968818 37.52941400005829, -122.28018599967103 37.529298000519674, -122.27875399909172 37.52895000016652, -122.27827800042124 37.52883500053528, -122.27822800008948 37.5289549994217, -122.27808100034729 37.529316000010816, -122.27803199979398 37.529437000455, -122.27640800040464 37.529560999478456, -122.27563900045999 37.53016399976783, -122.27543299979159 37.53033099991266, -122.27497399929985 37.53047100023519, -122.27480900064067 37.530306999351595, -122.27471499990695 37.53022000022819, -122.27466800049878 37.53017699991188, -122.27390599969806 37.52950499993738, -122.27363599988826 37.52926699956554, -122.27359300057668 37.529104000364214, -122.27290600023706 37.52847099970697, -122.27244500028806 37.52796799965225, -122.27234100028686 37.52787099963034, -122.27222799952875 37.5277489999885, -122.27214900034579 37.527646000334734, -122.27206199927824 37.52751199948906, -122.27198899975798 37.52737200007252, -122.27193300001471 37.52722799960961, -122.27190700018049 37.52713900057394, -122.2718760004889 37.526988999819764, -122.27186199978674 37.52680900009483, -122.27186699964302 37.52657200042383, -122.27191600006971 37.52631900008044, -122.27191099978889 37.526176000084384, -122.27189899971938 37.526031999756235, -122.27187300025406 37.525896999927625, -122.2718260003293 37.52580599999238, -122.27175400013253 37.525682999512725, -122.2714920003417 37.52535799980393, -122.27240600004 37.52489100049628, -122.27264500095421 37.52412900029604, -122.27265299944018 37.524066999602766, -122.27269300037537 37.523774999984745, -122.27273899969863 37.5237080006611, -122.27287800059017 37.52350799986978, -122.27292500001575 37.52344199935149, -122.27301400075734 37.52350900024612, -122.27303999981241 37.52352900065752, -122.27328400007998 37.52370899994629, -122.2733090007201 37.52372800007609, -122.27337099998985 37.52378100011872, -122.27343999974867 37.52386000042508, -122.2734479995863 37.52387499963671, -122.27349600033862 37.52395700027638, -122.27351999982146 37.52403200024327, -122.27353099987982 37.5241280003333, -122.27352200035602 37.524223999487084, -122.27351199975972 37.52434599984803, -122.2734800007649 37.52461200016575, -122.27346699992002 37.52472900017381, -122.27346899942216 37.5248040001231, -122.27348100024815 37.524868999764074, -122.27351400026524 37.524957999964336, -122.27356800029018 37.525041000084734, -122.27363000034347 37.525108999855654, -122.27383400001943 37.52527200011644, -122.27404500011383 37.52544000066368, -122.27411700005834 37.525498000313625, -122.27433299977974 37.525672000103896, -122.27440499907534 37.52572999982307, -122.27445599984323 37.5257710006961, -122.27461200044038 37.52589399911471, -122.27466400004096 37.52593600011003, -122.27478699970503 37.526033999851485, -122.27515699963209 37.526331000023546, -122.27528099953398 37.526430000319486, -122.27540899994393 37.52653400083906, -122.27579500020637 37.526846000470414, -122.27592399939647 37.52695000012877, -122.27598399974107 37.52699499963252, -122.27609700004452 37.527064999263985, -122.27611500007612 37.527076000191954, -122.27625599957898 37.527142999277785, -122.27638499998713 37.52719000034937, -122.27668499941177 37.52726899996927, -122.27688699963724 37.527321999870594, -122.27706800044386 37.52736899967313, -122.27761399995225 37.527511000194345, -122.27779599956263 37.52755900019958, -122.27797699963662 37.527605999992126, -122.27852200032056 37.52774899958117, -122.2787040006264 37.52779700018514, -122.279178000111 37.527919000436036, -122.2806020005704 37.528285000050936, -122.28079300069757 37.528334999737474, -122.28107599913156 37.528411999453674, -122.28126399990173 37.52846000051013, -122.28182800042454 37.52860699952302, -122.28201599994186 37.52865599979483, -122.28223500062765 37.52871300002463, -122.28289500020809 37.52888599998031, -122.28294799988335 37.52890000015328, -122.28302299915465 37.52891200014591, -122.28311699978855 37.528937999661025, -122.28316500004789 37.52895699918073, -122.28323699943738 37.52899499991662, -122.28333599943889 37.52905999962898, -122.2839670000334 37.529477000305114, -122.28417800000494 37.52961600048133, -122.28429700031765 37.52969500038179, -122.28465500047007 37.52993199985306, -122.28477500059377 37.53001199940651, -122.28470400020058 37.53007900017474)))",CALIFORNIA,SAN MATEO,14.333333333333334,14.333333333333334
060816086002,06,081,608600,2,41860,"San Francisco-Oakland-Berkeley, CA",1140,15.5,"MULTIPOLYGON (((-122.27719999978478 37.533124000382614, -122.27716200062336 37.53318200040837, -122.27673399961148 37.533854999878606, -122.27671800010722 37.533934999595715, -122.27666400013841 37.534222999779, -122.2764949996951 37.53421600026576, -122.27646800035991 37.534214999885684, -122.2760899997709 37.53420299958728, -122.27588000052583 37.53419600058592, -122.27568499982513 37.534190000379475, -122.27458900005382 37.534197000682575, -122.27398900015126 37.53420000060254, -122.27349399953542 37.53420399965333, -122.27319400015469 37.534202999823265, -122.27108199962511 37.53421399989811, -122.26689200045205 37.53409599967079, -122.26668799942662 37.53409199964222, -122.26596199980213 37.53408000010179, -122.26569699995294 37.534076000188826, -122.26599600089355 37.533989999725726, -122.26614700032961 37.53394600021507, -122.26620299983173 37.53393099995966, -122.26633199973902 37.53389399973455, -122.26648799989678 37.53378399982081, -122.26672000008739 37.53361899959787, -122.2667600000562 37.53359199975019, -122.26702900073515 37.533388000197746, -122.26717399970978 37.53325700028068, -122.26730700014986 37.53301799983985, -122.26731900065128 37.532994999282785, -122.26744599999026 37.53277000039715, -122.26749899889191 37.5326739999273, -122.26754199947477 37.532533000396796, -122.2675889996276 37.53238300001635, -122.26768599960667 37.53190499989916, -122.26770500001517 37.53178299998081, -122.26774099976056 37.53156500061258, -122.26774100004114 37.53152999960338, -122.26982799962903 37.53149700015832, -122.26983800029473 37.53136499970623, -122.26988199987424 37.530817999841574, -122.26997500049673 37.52966900038566, -122.26997899938468 37.52961200032701, -122.26998300024601 37.52957200004119, -122.26990499961191 37.529435000163375, -122.26956000006338 37.52883199995239, -122.26944499999409 37.52863099996574, -122.26941599991393 37.52860999967417, -122.26938900080474 37.528590000117696, -122.26932999995756 37.52854699973335, -122.26930199961001 37.52852699942463, -122.2691449995207 37.52841099930398, -122.26867699991287 37.52806299941759, -122.26852099954438 37.527947999837544, -122.26849399994077 37.52792599967769, -122.26844500033384 37.52788599929311, -122.26841400030347 37.527860000388564, -122.26838800040929 37.52783900022288, -122.2682359999216 37.52773900039715, -122.26816100096461 37.5276899996378, -122.26810200017863 37.527651000179326, -122.26802999974835 37.52760400060944, -122.26798300081813 37.52757299970101, -122.26787999971837 37.52750500048183, -122.26639500035012 37.52653000016999, -122.26617499960331 37.52627900027861, -122.26598700031089 37.526064000441266, -122.26560799935184 37.525631000331124, -122.2654230004966 37.52536200010248, -122.2649979999376 37.52470800010302, -122.26497099979437 37.524651999787366, -122.2646599999452 37.52401600055906, -122.26431800047001 37.523437999423194, -122.26394600040358 37.5231000003353, -122.26353499992767 37.52269400027163, -122.26348999932785 37.522647999970076, -122.26344400011534 37.52260299999477, -122.26325899989966 37.52242100007212, -122.26279399997927 37.521959999983416, -122.262544000309 37.52171299983436, -122.2620970000844 37.52127099982729, -122.26196499994154 37.521139000184164, -122.26188599952796 37.52107200077811, -122.26165099933021 37.52087400008717, -122.26157299972853 37.52080799944659, -122.26118599951853 37.52045800031599, -122.26210700021213 37.519597999458654, -122.2622270004803 37.51949300049038, -122.26240600053558 37.51933800027211, -122.26256499980703 37.51919900028546, -122.2646860002387 37.521019999507246, -122.2649439992857 37.52124099974105, -122.26498000011027 37.521272000078056, -122.26580399932611 37.521978999540856, -122.26625799961059 37.52236899973645, -122.26792300053562 37.523798000086146, -122.2680420005353 37.523697000109856, -122.26813499986719 37.52362499988744, -122.26841699967838 37.52341099993515, -122.26851100038466 37.52333999981019, -122.26857299982653 37.52328499946941, -122.26875900009316 37.52312300002364, -122.26882200016806 37.52306900018418, -122.26893200056469 37.52297300002254, -122.2692620001525 37.52268599967762, -122.26937299931268 37.52259099997767, -122.2694820002185 37.522495000661266, -122.2698120003748 37.52220899942158, -122.26992199954334 37.52211499960334, -122.2700319999252 37.52201899965, -122.2703630003645 37.52173199979593, -122.2704739995106 37.5216370002946, -122.27056300015157 37.521559000214914, -122.2707799998828 37.521371999402646, -122.27083799920223 37.52134000007081, -122.27094200013174 37.521284999739876, -122.27069300051433 37.5211149995411, -122.27043600042474 37.520939999454576, -122.2706689999315 37.520764999539615, -122.2709230002352 37.52092099983711, -122.27117899969203 37.52107899983565, -122.27126399973808 37.52100500011719, -122.27151999990421 37.52078200055691, -122.27160599965046 37.5207089994859, -122.27172800069224 37.52060199994077, -122.27209499955329 37.52028399971705, -122.27215800043486 37.52023000056453, -122.27217899972148 37.52015400032079, -122.2722019991766 37.52007200002972, -122.27239300034121 37.51990400053298, -122.27245699998063 37.51984899969985, -122.27208900031663 37.519600999864565, -122.27206799985767 37.519587000177545, -122.27194000065732 37.51966500033521, -122.2718339998698 37.51958300031835, -122.2715199994073 37.51930900007932, -122.2719620004678 37.518903000244855, -122.2722890007751 37.518604000070354, -122.27245499921447 37.51873699959541, -122.27265900029236 37.51890199987066, -122.27295300013037 37.519140000411106, -122.27301700061705 37.51919099987256, -122.27312999989701 37.51926000046028, -122.2732050003446 37.51919600038313, -122.27342999967226 37.519007000655876, -122.27347099969984 37.51897399982361, -122.2735059990508 37.51894500026361, -122.27362199943849 37.5190400003947, -122.27384900028811 37.51922699985638, -122.2739720003532 37.519328000197476, -122.27408900030417 37.519424999986605, -122.27417099932855 37.51949200042206, -122.27441700013705 37.51969399969518, -122.27449900102887 37.519762000414474, -122.27471800023967 37.51994300018928, -122.27537799980357 37.520485999985745, -122.27559799995468 37.52066799969014, -122.27557200028437 37.5206890001722, -122.275554000266 37.52070400070852, -122.27553000004083 37.52072300066584, -122.27535000060062 37.52087700039996, -122.27533700066842 37.52089900002265, -122.27529600071026 37.52097700005982, -122.27509700010387 37.5211490003762, -122.27449999983249 37.521665999470216, -122.27430200051037 37.52183900002227, -122.27419300002839 37.52193300081187, -122.27386599945442 37.52221600002631, -122.2737580008071 37.52231099966018, -122.27365300045352 37.52240399989634, -122.27341599982165 37.52275500005948, -122.27333700000403 37.5228719991874, -122.27324499999797 37.52297900003716, -122.27315599927925 37.523083000531024, -122.27300300003147 37.52332399991401, -122.27297299994446 37.523373000076944, -122.27292500001575 37.52344199935149, -122.27287800059017 37.52350799986978, -122.27273899969863 37.5237080006611, -122.27269300037537 37.523774999984745, -122.27265299944018 37.524066999602766, -122.27264500095421 37.52412900029604, -122.27240600004 37.52489100049628, -122.2714920003417 37.52535799980393, -122.27175400013253 37.525682999512725, -122.2718260003293 37.52580599999238, -122.27187300025406 37.525896999927625, -122.27189899971938 37.526031999756235, -122.27191099978889 37.526176000084384, -122.27191600006971 37.52631900008044, -122.27186699964302 37.52657200042383, -122.27186199978674 37.52680900009483, -122.2718760004889 37.526988999819764, -122.27190700018049 37.52713900057394, -122.27193300001471 37.52722799960961, -122.27198899975798 37.52737200007252, -122.27206199927824 37.52751199948906, -122.27214900034579 37.527646000334734, -122.27222799952875 37.5277489999885, -122.27234100028686 37.52787099963034, -122.27244500028806 37.52796799965225, -122.27290600023706 37.52847099970697, -122.27359300057668 37.529104000364214, -122.27363599988826 37.52926699956554, -122.27390599969806 37.52950499993738, -122.27466800049878 37.53017699991188, -122.27471499990695 37.53022000022819, -122.27480900064067 37.530306999351595, -122.27497399929985 37.53047100023519, -122.27543999926746 37.53093099992083, -122.27545699936896 37.53094900011109, -122.27671399987314 37.532284000542866, -122.2768559998792 37.532436000100084, -122.27732000066071 37.532934999719984, -122.27719999978478 37.533124000382614)))",CALIFORNIA,SAN MATEO,14.333333333333334,14.333333333333334
060816086003,06,081,608600,3,41860,"San Francisco-Oakland-Berkeley, CA",2224,15.666666666666664,"MULTIPOLYGON (((-122.28706399985896 37.529499000724, -122.28705600068268 37.52950599933757, -122.28695099967645 37.5296210000222, -122.2869169998069 37.52965999968235, -122.28662300011644 37.52985799984968, -122.28574300021097 37.53045200053279, -122.2855970001635 37.53055200037104, -122.28544999980915 37.53065100015383, -122.2852630004351 37.53060399960506, -122.28470499997302 37.530462999754526, -122.2845189998694 37.53041600025514, -122.2845549997913 37.53032499974864, -122.28460899982039 37.530189999661175, -122.28466900045392 37.5301140002554, -122.28470400020058 37.53007900017474, -122.28477500059377 37.53001199940651, -122.28465500047007 37.52993199985306, -122.28429700031765 37.52969500038179, -122.28417800000494 37.52961600048133, -122.2839670000334 37.529477000305114, -122.28333599943889 37.52905999962898, -122.28323699943738 37.52899499991662, -122.28316500004789 37.52895699918073, -122.28311699978855 37.528937999661025, -122.28302299915465 37.52891200014591, -122.28294799988335 37.52890000015328, -122.28289500020809 37.52888599998031, -122.28223500062765 37.52871300002463, -122.28201599994186 37.52865599979483, -122.28182800042454 37.52860699952302, -122.28126399990173 37.52846000051013, -122.28107599913156 37.528411999453674, -122.28079300069757 37.528334999737474, -122.2806020005704 37.528285000050936, -122.279178000111 37.527919000436036, -122.2787040006264 37.52779700018514, -122.27852200032056 37.52774899958117, -122.27797699963662 37.527605999992126, -122.27779599956263 37.52755900019958, -122.27761399995225 37.527511000194345, -122.27706800044386 37.52736899967313, -122.27688699963724 37.527321999870594, -122.27668499941177 37.52726899996927, -122.27638499998713 37.52719000034937, -122.27625599957898 37.527142999277785, -122.27611500007612 37.527076000191954, -122.27609700004452 37.527064999263985, -122.27598399974107 37.52699499963252, -122.27592399939647 37.52695000012877, -122.27579500020637 37.526846000470414, -122.27540899994393 37.52653400083906, -122.27528099953398 37.526430000319486, -122.27515699963209 37.526331000023546, -122.27478699970503 37.526033999851485, -122.27466400004096 37.52593600011003, -122.27461200044038 37.52589399911471, -122.27445599984323 37.5257710006961, -122.27440499907534 37.52572999982307, -122.27433299977974 37.525672000103896, -122.27411700005834 37.525498000313625, -122.27404500011383 37.52544000066368, -122.27383400001943 37.52527200011644, -122.27363000034347 37.525108999855654, -122.27356800029018 37.525041000084734, -122.27351400026524 37.524957999964336, -122.27348100024815 37.524868999764074, -122.27346899942216 37.5248040001231, -122.27346699992002 37.52472900017381, -122.2734800007649 37.52461200016575, -122.27351199975972 37.52434599984803, -122.27352200035602 37.524223999487084, -122.27353099987982 37.5241280003333, -122.27351999982146 37.52403200024327, -122.27349600033862 37.52395700027638, -122.2734479995863 37.52387499963671, -122.27343999974867 37.52386000042508, -122.27337099998985 37.52378100011872, -122.2733090007201 37.52372800007609, -122.27328400007998 37.52370899994629, -122.27303999981241 37.52352900065752, -122.27301400075734 37.52350900024612, -122.27292500001575 37.52344199935149, -122.27297299994446 37.523373000076944, -122.27300300003147 37.52332399991401, -122.27315599927925 37.523083000531024, -122.27324499999797 37.52297900003716, -122.27333700000403 37.5228719991874, -122.27341599982165 37.52275500005948, -122.27365300045352 37.52240399989634, -122.2737580008071 37.52231099966018, -122.27386599945442 37.52221600002631, -122.27419300002839 37.52193300081187, -122.27430200051037 37.52183900002227, -122.27449999983249 37.521665999470216, -122.27509700010387 37.5211490003762, -122.27529600071026 37.52097700005982, -122.27533700066842 37.52089900002265, -122.27535000060062 37.52087700039996, -122.27553000004083 37.52072300066584, -122.275554000266 37.52070400070852, -122.27557200028437 37.5206890001722, -122.27559799995468 37.52066799969014, -122.27643099932456 37.52135500008932, -122.27782400057156 37.5225239998874, -122.27822699979784 37.52286199982053, -122.28164499981237 37.5257110000987, -122.28210000029799 37.52607199995899, -122.282357000105 37.52626699966844, -122.2826179999934 37.52645700049273, -122.2828840002178 37.52664400023967, -122.28468500000237 37.52785299992992, -122.28709200055984 37.529469000223806, -122.28706399985896 37.529499000724)))",CALIFORNIA,SAN MATEO,14.333333333333334,14.333333333333334
